"CTY" "CLRS" "Shape.Reported" "State" "Time"
"645" "Westbury" "" "DISK" "NY" "11/2/1960 18:00"
"653" "New York City" "" "CROSS" "NY" "3/29/1961 0:00"
"659" "no data" "" "TEARDROP" "NY" "6/1/1961 18:00"
"683" "New York City" "" "DISK" "NY" "8/15/1961 19:00"
"724" "Ossining" "" "" "NY" "6/25/1962 2:00"
"729" "Bethpage" "" "TRIANGLE" "NY" "6/30/1962 18:00"
"736" "Tannersville" "" "LIGHT" "NY" "7/10/1962 10:00"
"745" "Rensselaer" "" "OTHER" "NY" "7/24/1962 12:00"
"769" "New York City" "" "CIGAR" "NY" "12/21/1962 23:21"
"783" "New York City" "" "OTHER" "NY" "5/15/1963 7:00"
"812" "Newburgh" "" "OTHER" "NY" "6/15/1963 22:00"
"819" "New York City" "" "OVAL" "NY" "7/1/1963 16:00"
"827" "Hornell" "" "" "NY" "7/14/1963 21:30"
"839" "Amsterdam" "" "DISK" "NY" "8/1/1963 2:00"
"846" "Broadalbin" "" "LIGHT" "NY" "8/23/1963 22:00"
"848" "New York City" "" "CIRCLE" "NY" "10/3/1963 21:00"
"878" "New York City" "" "DISK" "NY" "6/5/1964 10:00"
"935" "New York City" "" "DISK" "NY" "9/5/1964 21:00"
"938" "Arcade" "" "DISK" "NY" "9/15/1964 20:00"
"977" "Massapequa Park" "" "OVAL" "NY" "5/12/1965 21:00"
"995" "Rochester" "" "SPHERE" "NY" "6/1/1965 21:00"
"1003" "West Corners" "" "OTHER" "NY" "6/15/1965 9:00"
"1025" "Brentwood" "" "" "NY" "6/30/1965 14:00"
"1030" "Blasdell" "" "OVAL" "NY" "6/30/1965 21:00"
"1031" "Otisville" "" "" "NY" "6/30/1965 22:00"
"1039" "Hains Falls" "" "LIGHT" "NY" "7/4/1965 20:00"
"1051" "Westbury" "" "EGG" "NY" "7/15/1965 15:00"
"1086" "Oneonta" "" "OVAL" "NY" "8/15/1965 20:45"
"1095" "New York City" "" "CYLINDER" "NY" "8/20/1965 20:30"
"1096" "New York City" "" "CYLINDER" "NY" "8/20/1965 20:30"
"1118" "New Rochelle" "" "SPHERE" "NY" "10/15/1965 15:00"
"1130" "Middletown" "" "SPHERE" "NY" "11/9/1965 18:00"
"1131" "Syosset" "BLUE" "DISK" "NY" "11/15/1965 16:30"
"1133" "New York City" "RED" "OVAL" "NY" "11/15/1965 21:00"
"1135" "Poughkeepsie" "" "TRIANGLE" "NY" "12/1/1965 17:00"
"1136" "Grand Island" "" "FIREBALL" "NY" "12/9/1965 0:00"
"1175" "Geneva" "ORANGE" "DISK" "NY" "4/14/1966 22:30"
"1196" "New Rochelle" "" "LIGHT" "NY" "6/1/1966 2:00"
"1210" "Pleasantville" "" "DISK" "NY" "6/1/1966 17:50"
"1248" "New York City" "" "CIRCLE" "NY" "6/30/1966 5:00"
"1277" "Cold Springs" "" "" "NY" "7/15/1966 22:00"
"1289" "Rochester" "" "OTHER" "NY" "8/15/1966 12:00"
"1290" "Amherst" "" "DISK" "NY" "8/15/1966 22:00"
"1299" "Rochester" "" "DISK" "NY" "8/30/1966 17:30"
"1300" "New York City" "" "SPHERE" "NY" "9/1/1966 22:00"
"1318" "Buffalo" "" "LIGHT" "NY" "10/1/1966 20:00"
"1330" "Utica" "RED GREEN" "TRIANGLE" "NY" "10/15/1966 20:00"
"1342" "Hempstead" "" "" "NY" "11/11/1966 20:00"
"1359" "Stony Point" "" "" "NY" "2/13/1967 22:19"
"1380" "Westbury" "" "FORMATION" "NY" "4/14/1967 22:30"
"1384" "Gibson" "" "OVAL" "NY" "4/22/1967 21:00"
"1413" "Gerry" "" "DISK" "NY" "6/1/1967 22:00"
"1431" "Glens Falls" "" "TEARDROP" "NY" "6/15/1967 14:00"
"1472" "Churchville" "" "DISK" "NY" "7/31/1967 18:15"
"1475" "Coxsackie" "" "CIRCLE" "NY" "8/1/1967 19:00"
"1476" "New York City" "" "DIAMOND" "NY" "8/1/1967 19:00"
"1479" "Davis Park" "" "TRIANGLE" "NY" "8/1/1967 21:30"
"1485" "Babylon" "" "CIRCLE" "NY" "8/8/1967 11:00"
"1493" "Sag Harbor" "GREEN" "SPHERE" "NY" "8/15/1967 21:30"
"1526" "Chaffee" "" "SPHERE" "NY" "10/1/1967 2:00"
"1529" "Syracuse" "" "DISK" "NY" "10/5/1967 4:00"
"1561" "on plane wing" "" "DISK" "NY" "1/31/1968 5:00"
"1564" "New York City" "" "DISK" "NY" "3/1/1968 15:00"
"1589" "Binghamton" "" "DISK" "NY" "6/1/1968 0:00"
"1644" "Upper Lisle" "" "TRIANGLE" "NY" "6/21/1968 20:30"
"1701" "Coxsackie" "" "CIRCLE" "NY" "8/1/1968 19:00"
"1809" "Athens" "" "RECTANGLE" "NY" "6/1/1969 22:00"
"1818" "Islip" "" "OTHER" "NY" "6/15/1969 6:00"
"1825" "Ronkonkoma" "" "" "NY" "6/21/1969 23:00"
"1854" "Bridgeport" "" "CIGAR" "NY" "7/14/1969 19:00"
"1855" "South Glens" "" "FLASH" "NY" "7/15/1969 0:00"
"1877" "Port Chester" "" "OTHER" "NY" "8/13/1969 0:30"
"1881" "Port Jefferson" "" "DISK" "NY" "8/15/1969 12:00"
"1906" "Fulton" "" "CIGAR" "NY" "10/29/1969 21:00"
"1907" "Fulton" "" "CIGAR" "NY" "10/30/1969 21:00"
"1908" "Fulton" "" "CIGAR" "NY" "10/30/1969 21:00"
"1909" "Fulton" "ORANGE" "CIRCLE" "NY" "10/31/1969 23:00"
"1942" "East Aurora" "" "EGG" "NY" "4/15/1970 21:30"
"1944" "New York City" "" "OTHER" "NY" "5/1/1970 0:00"
"1945" "New York City" "" "OTHER" "NY" "5/1/1970 0:00"
"1949" "New York City" "" "VARIOUS" "NY" "5/5/1970 19:00"
"1960" "Fulton" "" "CIRCLE" "NY" "6/1/1970 17:00"
"1962" "New York City" "" "DISK" "NY" "6/1/1970 19:30"
"1972" "Huntington" "" "" "NY" "6/10/1970 19:00"
"1979" "Yorktown Heights" "" "LIGHT" "NY" "6/15/1970 18:00"
"1988" "Poughkeepsie" "" "DISK" "NY" "6/25/1970 15:00"
"1997" "Bemus Point" "" "OTHER" "NY" "7/15/1970 2:00"
"2001" "Tyre" "" "OTHER" "NY" "7/15/1970 21:30"
"2008" "Levittown" "" "DISK" "NY" "7/20/1970 21:15"
"2009" "Newark" "" "OVAL" "NY" "7/20/1970 22:00"
"2036" "New York City" "" "SPHERE" "NY" "9/22/1970 23:00"
"2037" "New York City" "" "DISK" "NY" "10/1/1970 16:00"
"2041" "New York City" "" "DISK" "NY" "10/1/1970 21:00"
"2042" "Bellmore" "" "DISK" "NY" "10/10/1970 16:00"
"2046" "Lindenhurst" "" "SPHERE" "NY" "10/29/1970 19:50"
"2048" "Rochester" "RED" "" "NY" "11/1/1970 20:30"
"2139" "Corning" "" "DISK" "NY" "8/10/1971 22:00"
"2140" "Fallsburg" "" "CROSS" "NY" "8/11/1971 13:00"
"2150" "Buffalo" "" "TRIANGLE" "NY" "9/1/1971 15:00"
"2164" "Menands" "" "CHEVRON" "NY" "10/12/1971 22:00"
"2174" "Knox" "" "DISK" "NY" "11/17/1971 21:00"
"2223" "Millerton" "BLUE" "DISK" "NY" "6/10/1972 0:00"
"2225" "Broadelbin" "" "LIGHT" "NY" "6/11/1972 22:00"
"2240" "Millerton" "" "DISK" "NY" "6/22/1972 23:45"
"2241" "Buffalo" "RED" "DISK" "NY" "6/24/1972 23:00"
"2242" "Albany" "" "CIGAR" "NY" "6/25/1972 15:00"
"2326" "North Tarrytown" "" "DISK" "NY" "10/15/1972 16:00"
"2328" "Wellsville" "" "DISK" "NY" "10/25/1972 20:00"
"2380" "Schenectady" "" "CIRCLE" "NY" "6/1/1973 0:00"
"2430" "Perth" "ORANGE" "LIGHT" "NY" "7/1/1973 20:00"
"2449" "Rochester" "" "SPHERE" "NY" "7/15/1973 16:30"
"2487" "Brocton" "" "DISK" "NY" "8/15/1973 23:00"
"2499" "Baldwinsville" "" "" "NY" "9/15/1973 19:30"
"2531" "Chazy" "" "LIGHT" "NY" "10/15/1973 17:30"
"2539" "New York City" "" "" "NY" "10/20/1973 0:00"
"2551" "Huntington" "ORANGE" "" "NY" "11/1/1973 19:00"
"2555" "New York City" "" "DISK" "NY" "11/15/1973 0:00"
"2604" "Esopus" "" "OTHER" "NY" "5/15/1974 1:30"
"2606" "Howard Beach" "" "DISK" "NY" "5/15/1974 15:15"
"2617" "Garrison" "" "DISK" "NY" "6/1/1974 0:00"
"2650" "Albany" "" "TRIANGLE" "NY" "6/15/1974 13:00"
"2670" "New York" "" "DISK" "NY" "6/30/1974 18:30"
"2672" "Herkimer" "" "CIGAR" "NY" "6/30/1974 21:00"
"2674" "New York City" "" "CIRCLE" "NY" "6/30/1974 21:00"
"2734" "New Rochelle" "" "OVAL" "NY" "8/10/1974 1:00"
"2735" "New Rochelle" "" "OVAL" "NY" "8/10/1974 13:00"
"2741" "Niagara Falls" "" "TRIANGLE" "NY" "8/15/1974 20:00"
"2769" "Westerlo" "" "LIGHT" "NY" "9/15/1974 20:00"
"2829" "Jamestown" "" "SPHERE" "NY" "1/1/1975 3:00"
"2836" "Cairo" "" "TRIANGLE" "NY" "1/15/1975 16:00"
"2840" "Albany" "" "LIGHT" "NY" "1/17/1975 18:00"
"2878" "Rochester" "" "FLASH" "NY" "5/25/1975 23:00"
"2888" "Cold Spring" "" "OVAL" "NY" "6/1/1975 13:00"
"2898" "Kenmore" "BLUE" "DISK" "NY" "6/1/1975 20:30"
"2899" "Kenmore" "" "OVAL" "NY" "6/1/1975 20:30"
"2904" "Grand Island" "" "OVAL" "NY" "6/1/1975 21:30"
"2917" "Albany" "" "CIGAR" "NY" "6/10/1975 2:00"
"2920" "Albany" "" "LIGHT" "NY" "6/10/1975 22:00"
"2927" "Fulton" "" "DISK" "NY" "6/15/1975 13:00"
"2951" "Rocky Point" "" "LIGHT" "NY" "6/30/1975 0:00"
"2973" "Fair Haven" "" "SPHERE" "NY" "7/4/1975 10:00"
"3008" "Albion" "BLUE" "LIGHT" "NY" "7/20/1975 1:30"
"3038" "Albion" "" "CIGAR" "NY" "8/15/1975 20:00"
"3051" "Brewster" "" "CYLINDER" "NY" "8/20/1975 16:30"
"3089" "Nesconset" "" "DISK" "NY" "10/15/1975 18:00"
"3091" "Monroe" "" "DISK" "NY" "10/15/1975 19:00"
"3098" "Watkins Glen" "" "" "NY" "10/20/1975 3:15"
"3114" "Albany" "" "CIRCLE" "NY" "11/15/1975 20:00"
"3115" "Catskill" "" "FORMATION" "NY" "11/15/1975 20:00"
"3122" "Hudson" "" "" "NY" "11/20/1975 17:00"
"3123" "Yonkers" "" "LIGHT" "NY" "11/20/1975 20:00"
"3191" "Syracuse" "" "OVAL" "NY" "6/1/1976 8:30"
"3207" "Niagara Falls" "" "FLASH" "NY" "6/1/1976 20:00"
"3214" "Cossayuna" "" "" "NY" "6/1/1976 22:00"
"3243" "Smithtown" "" "DISK" "NY" "6/15/1976 20:00"
"3244" "Brentwood" "" "DISK" "NY" "6/15/1976 21:00"
"3245" "Long Beach" "" "DISK" "NY" "6/15/1976 21:00"
"3273" "Elmira Heights" "" "CIRCLE" "NY" "6/30/1976 21:15"
"3292" "Ausable Forks" "" "SPHERE" "NY" "7/4/1976 22:00"
"3305" "Hyde Park" "" "DISK" "NY" "7/15/1976 14:00"
"3328" "Warwick" "" "LIGHT" "NY" "7/26/1976 19:00"
"3371" "New York City" "" "DISK" "NY" "9/10/1976 22:00"
"3372" "Albany" "" "CIRCLE" "NY" "9/10/1976 23:00"
"3384" "Fairport" "" "DISK" "NY" "10/1/1976 19:00"
"3391" "Rochester" "RED" "" "NY" "10/15/1976 19:30"
"3422" "Great Neck" "" "CYLINDER" "NY" "1/1/1977 12:00"
"3423" "New York City" "" "SPHERE" "NY" "1/1/1977 19:30"
"3452" "Clearence Center" "" "OVAL" "NY" "4/15/1977 23:00"
"3473" "Mettacahonts" "" "CIRCLE" "NY" "5/23/1977 21:00"
"3478" "Watertown" "" "CIGAR" "NY" "5/29/1977 23:30"
"3535" "Accord" "RED" "TRIANGLE" "NY" "6/20/1977 20:30"
"3556" "Glen Head" "" "CIGAR" "NY" "7/2/1977 14:00"
"3592" "So. Farmingdale" "BLUE" "" "NY" "7/26/1977 14:00"
"3593" "So. Farmingdale" "" "CIRCLE" "NY" "7/26/1977 14:00"
"3635" "Keene Valley" "BLUE" "LIGHT" "NY" "9/1/1977 20:00"
"3659" "Brockport" "" "DISK" "NY" "11/4/1977 17:00"
"3662" "Newburgh" "" "DISK" "NY" "11/15/1977 1:00"
"3668" "Saint James" "RED" "SPHERE" "NY" "11/23/1977 16:15"
"3670" "Canandaigua" "" "TRIANGLE" "NY" "11/26/1977 14:00"
"3677" "Philadelphia" "" "OVAL" "NY" "12/24/1977 23:00"
"3699" "Geneseo" "" "" "NY" "2/20/1978 19:00"
"3719" "Chittenango" "" "FIREBALL" "NY" "4/6/1978 20:00"
"3772" "Levittown" "" "DISK" "NY" "6/15/1978 17:00"
"3788" "Albany" "" "FIREBALL" "NY" "6/21/1978 3:00"
"3798" "Elmsford" "" "DISK" "NY" "6/30/1978 16:00"
"3803" "New York City" "" "OVAL" "NY" "6/30/1978 21:00"
"3812" "Fort Drum" "RED" "LIGHT" "NY" "7/1/1978 8:45"
"3813" "Chester" "" "CHEVRON" "NY" "7/1/1978 14:00"
"3821" "Monsey" "" "TRIANGLE" "NY" "7/1/1978 22:00"
"3822" "New Rochelle" "" "OVAL" "NY" "7/1/1978 22:00"
"3857" "Centereach" "RED" "DISK" "NY" "7/16/1978 21:00"
"3860" "New York City" "RED" "TRIANGLE" "NY" "7/20/1978 2:00"
"3883" "Clifton Park" "" "OVAL" "NY" "8/1/1978 19:30"
"3913" "Ticonderoga" "" "TRIANGLE" "NY" "8/15/1978 21:00"
"3926" "Bluepoint" "" "DISK" "NY" "8/23/1978 19:00"
"3955" "Elmont" "" "RECTANGLE" "NY" "10/10/1978 2:00"
"3971" "West Seneca" "" "TRIANGLE" "NY" "10/20/1978 22:00"
"3978" "Troy" "" "LIGHT" "NY" "11/1/1978 20:00"
"3993" "Rockland County" "" "" "NY" "12/1/1978 1:00"
"4044" "Monterey" "" "RECTANGLE" "NY" "4/15/1979 8:00"
"4069" "Ithaca" "" "CIGAR" "NY" "6/1/1979 19:00"
"4080" "Farmington" "" "RECTANGLE" "NY" "6/1/1979 22:00"
"4087" "Huntington" "" "" "NY" "6/10/1979 19:00"
"4103" "Valley Cottage" "" "DISK" "NY" "6/20/1979 20:00"
"4104" "Bohemia" "" "LIGHT" "NY" "6/20/1979 23:30"
"4124" "Syracuse" "" "LIGHT" "NY" "7/4/1979 23:00"
"4130" "Honeoye Falls" "" "CIGAR" "NY" "7/14/1979 8:00"
"4146" "Niagara Falls" "" "LIGHT" "NY" "7/18/1979 21:00"
"4154" "Little Falls" "" "FIREBALL" "NY" "8/1/1979 21:00"
"4180" "New York City" "" "DISK" "NY" "9/1/1979 19:30"
"4181" "Commack" "" "OTHER" "NY" "9/1/1979 20:00"
"4199" "Monsey" "" "DISK" "NY" "9/26/1979 17:00"
"4207" "Buffalo" "" "LIGHT" "NY" "10/1/1979 21:00"
"4211" "Poughkeepsie" "ORANGE" "CHEVRON" "NY" "10/10/1979 0:00"
"4230" "Wassaic" "" "CIRCLE" "NY" "11/15/1979 22:30"
"4256" "Canton" "" "LIGHT" "NY" "2/17/1980 19:10"
"4289" "Yonkers" "" "TRIANGLE" "NY" "5/15/1980 17:40"
"4311" "Hamburg" "" "SPHERE" "NY" "6/1/1980 19:00"
"4368" "Town of Preble" "" "LIGHT" "NY" "7/10/1980 15:00"
"4374" "Hamburg" "" "TRIANGLE" "NY" "7/14/1980 23:00"
"4377" "Buffalo" "" "OVAL" "NY" "7/15/1980 8:30"
"4393" "Henrietta" "" "OTHER" "NY" "7/30/1980 20:30"
"4414" "Edwards" "" "CHEVRON" "NY" "8/20/1980 1:00"
"4424" "Brewerton" "" "VARIOUS" "NY" "9/8/1980 6:00"
"4438" "Samsonville" "" "DISK" "NY" "9/20/1980 22:00"
"4568" "Sharon Springs" "" "CIRCLE" "NY" "6/30/1981 19:00"
"4583" "Stony Brook University" "" "DISK" "NY" "7/15/1981 2:30"
"4585" "Mayfield" "" "CIGAR" "NY" "7/18/1981 22:00"
"4608" "Saratoga" "RED" "OVAL" "NY" "8/23/1981 3:30"
"4615" "Port Jervis" "RED" "TRIANGLE" "NY" "9/1/1981 20:00"
"4670" "Siamese Ponds Wilderness" "" "DISK" "NY" "4/1/1982 4:00"
"4692" "Tully" "" "TRIANGLE" "NY" "6/1/1982 12:00"
"4702" "Peekskill" "" "CHEVRON" "NY" "6/1/1982 22:00"
"4721" "New York City" "" "CIGAR" "NY" "6/15/1982 19:00"
"4735" "Harpursville" "" "TRIANGLE" "NY" "6/20/1982 22:00"
"4746" "New York City" "" "DISK" "NY" "7/1/1982 20:00"
"4757" "Chittenango" "ORANGE" "TRIANGLE" "NY" "7/15/1982 21:00"
"4775" "Rome" "" "CIGAR" "NY" "8/5/1982 20:30"
"4790" "Liverpool" "" "TRIANGLE" "NY" "8/18/1982 21:00"
"4796" "Mount Kisco" "RED BLUE" "SPHERE" "NY" "9/9/1982 16:10"
"4822" "North Hudson" "" "DISK" "NY" "10/15/1982 20:00"
"4842" "Huntington" "" "" "NY" "12/10/1982 23:00"
"4858" "New Rochelle" "" "DISK" "NY" "4/1/1983 17:14"
"4863" "Katonah" "" "SPHERE" "NY" "4/15/1983 12:00"
"4880" "Roslyn" "" "DISK" "NY" "5/15/1983 0:00"
"4903" "Shokan" "" "LIGHT" "NY" "6/15/1983 2:00"
"4930" "New York City" "" "FIREBALL" "NY" "7/10/1983 20:00"
"4940" "Poughkeepsie" "" "OTHER" "NY" "7/15/1983 21:15"
"4947" "Mt. Kisco" "" "TRIANGLE" "NY" "8/1/1983 21:00"
"4952" "Plattekill" "" "DISK" "NY" "8/15/1983 0:30"
"4956" "Katonah" "" "TRIANGLE" "NY" "8/15/1983 21:00"
"4959" "Bedford Hills" "" "CHEVRON" "NY" "8/15/1983 21:05"
"4986" "Kingston" "" "TRIANGLE" "NY" "11/1/1983 21:00"
"5009" "Newburgh" "" "CIRCLE" "NY" "3/24/1984 8:00"
"5010" "Mettacahonts" "" "FORMATION" "NY" "3/27/1984 20:00"
"5011" "Rosendale" "" "CIRCLE" "NY" "3/27/1984 23:00"
"5021" "Auburn" "" "TRIANGLE" "NY" "4/23/1984 5:30"
"5067" "Greenburg" "" "" "NY" "6/15/1984 21:30"
"5083" "New York City" "" "TRIANGLE" "NY" "7/1/1984 21:30"
"5084" "Peekskill" "" "TRIANGLE" "NY" "7/1/1984 22:00"
"5096" "Millwood" "" "TRIANGLE" "NY" "7/19/1984 18:00"
"5097" "Ossining" "" "OTHER" "NY" "7/19/1984 18:00"
"5099" "Brewster" "RED" "OVAL" "NY" "7/24/1984 22:00"
"5119" "Croton-on-Hudson" "" "SPHERE" "NY" "8/15/1984 21:00"
"5120" "South Glens Falls" "" "CIGAR" "NY" "8/15/1984 21:00"
"5122" "Brewster" "" "CHEVRON" "NY" "8/15/1984 23:00"
"5137" "Elwood" "" "CHEVRON" "NY" "9/16/1984 15:00"
"5138" "New York City" "" "TEARDROP" "NY" "9/20/1984 21:00"
"5145" "White Plains" "" "FORMATION" "NY" "10/10/1984 22:00"
"5190" "New York City" "" "VARIOUS" "NY" "4/1/1985 15:00"
"5192" "Stone Ridge" "" "OTHER" "NY" "4/4/1985 20:00"
"5214" "Middletown" "GREEN" "RECTANGLE" "NY" "5/30/1985 0:00"
"5227" "North Tonawanda" "" "CHEVRON" "NY" "6/1/1985 22:00"
"5242" "Route 7" "" "RECTANGLE" "NY" "6/15/1985 2:30"
"5252" "New York City" "" "OVAL" "NY" "6/15/1985 23:00"
"5269" "White Plains" "" "CHEVRON" "NY" "6/30/1985 20:00"
"5277" "Great Neck" "" "RECTANGLE" "NY" "7/1/1985 22:00"
"5281" "Peekskill" "ORANGE" "TRIANGLE" "NY" "7/5/1985 21:00"
"5313" "North Tonawanda" "" "DISK" "NY" "8/12/1985 0:42"
"5327" "Friendship" "" "RECTANGLE" "NY" "8/20/1985 22:00"
"5328" "Mechanics Town" "" "DISK" "NY" "8/24/1985 0:00"
"5330" "Rockland" "" "DISK" "NY" "9/1/1985 9:00"
"5333" "Wappingers Falls" "" "FORMATION" "NY" "9/1/1985 21:00"
"5340" "Annandale" "" "OVAL" "NY" "9/15/1985 21:15"
"5360" "New York City" "" "SPHERE" "NY" "10/22/1985 20:00"
"5363" "New York City" "" "DISK" "NY" "10/31/1985 20:30"
"5365" "Patterson" "" "CIGAR" "NY" "11/2/1985 1:00"
"5375" "Walden" "" "OVAL" "NY" "12/3/1985 18:15"
"5385" "Lido Beach" "" "CIRCLE" "NY" "1/16/1986 9:10"
"5424" "New York City" "" "CHEVRON" "NY" "5/15/1986 17:40"
"5436" "New York City" "" "TRIANGLE" "NY" "6/1/1986 19:00"
"5451" "New Rochelle" "RED" "TRIANGLE" "NY" "6/14/1986 20:00"
"5471" "Bayside" "" "DIAMOND" "NY" "7/5/1986 21:00"
"5515" "New York City" "" "SPHERE" "NY" "9/15/1986 3:00"
"5519" "Wingdale" "" "OTHER" "NY" "9/15/1986 22:30"
"5532" "Holmes" "" "CHEVRON" "NY" "10/10/1986 20:00"
"5576" "East Meadow" "" "VARIOUS" "NY" "1/30/1987 13:00"
"5587" "Medford" "" "FORMATION" "NY" "3/10/1987 20:00"
"5589" "New York City" "" "CHEVRON" "NY" "3/17/1987 21:00"
"5595" "New York City" "" "TRIANGLE" "NY" "4/10/1987 13:00"
"5610" "Selden" "" "OTHER" "NY" "5/10/1987 23:30"
"5611" "Wales" "" "LIGHT" "NY" "5/10/1987 23:30"
"5620" "Schenectady" "" "CHEVRON" "NY" "5/28/1987 19:00"
"5629" "New York City" "RED" "CIGAR" "NY" "6/1/1987 15:00"
"5633" "Syracuse" "RED GREEN" "OVAL" "NY" "6/1/1987 19:00"
"5636" "Putnam Valley" "" "FORMATION" "NY" "6/1/1987 21:00"
"5691" "New York City" "" "OVAL" "NY" "7/21/1987 23:00"
"5721" "Hastings On Hudson" "" "TRIANGLE" "NY" "8/20/1987 20:00"
"5726" "Hewlett" "" "DISK" "NY" "9/1/1987 20:00"
"5728" "Liverpool" "" "CIGAR" "NY" "9/15/1987 7:30"
"5740" "Wappingers Falls" "" "" "NY" "10/1/1987 23:00"
"5749" "Yonkers" "" "RECTANGLE" "NY" "10/15/1987 21:00"
"5750" "Eastchester" "" "TRIANGLE" "NY" "10/15/1987 22:00"
"5804" "New York City" "" "OVAL" "NY" "3/17/1988 19:30"
"5805" "Ossining" "" "EGG" "NY" "3/17/1988 20:00"
"5806" "Pleasantville" "" "EGG" "NY" "3/17/1988 22:00"
"5844" "Lackawanna" "" "" "NY" "6/1/1988 23:00"
"5846" "Owego" "RED" "DISK" "NY" "6/10/1988 2:00"
"5883" "Rome" "" "SPHERE" "NY" "7/5/1988 0:30"
"5909" "Holbrook" "" "CIRCLE" "NY" "8/1/1988 23:00"
"5918" "Jamesville" "BLUE" "LIGHT" "NY" "8/10/1988 16:08"
"5924" "Walker Valle" "" "" "NY" "8/15/1988 14:00"
"5932" "Buchanan" "" "CIRCLE" "NY" "8/15/1988 23:00"
"5937" "New York City" "" "SPHERE" "NY" "8/20/1988 22:00"
"5950" "New York City" "" "CIRCLE" "NY" "9/20/1988 18:00"
"5955" "Fishkill" "" "FORMATION" "NY" "10/2/1988 22:30"
"5977" "Holmes" "" "FORMATION" "NY" "10/21/1988 21:00"
"5978" "New York City" "" "SPHERE" "NY" "10/22/1988 20:30"
"5990" "Dexter" "" "DISK" "NY" "11/15/1988 5:30"
"5991" "Dexter" "" "DISK" "NY" "11/15/1988 5:30"
"5992" "Dexter" "" "DISK" "NY" "11/15/1988 5:30"
"6033" "Poughkeepsie" "" "CHEVRON" "NY" "3/1/1989 20:00"
"6045" "New York City" "" "OTHER" "NY" "4/19/1989 20:00"
"6063" "Barneveld" "" "TRIANGLE" "NY" "5/15/1989 21:30"
"6077" "Rhinebeck" "" "CHEVRON" "NY" "6/1/1989 16:00"
"6078" "Groveland" "" "LIGHT" "NY" "6/1/1989 19:00"
"6087" "New York City" "" "" "NY" "6/1/1989 23:00"
"6112" "Ellenville" "" "OTHER" "NY" "6/30/1989 21:00"
"6120" "Berkshire" "" "CHEVRON" "NY" "7/1/1989 21:30"
"6121" "Stony Point" "" "TRIANGLE" "NY" "7/1/1989 22:00"
"6151" "Chappaqua" "" "CYLINDER" "NY" "8/8/1989 20:00"
"6164" "Grahamsville" "" "RECTANGLE" "NY" "8/22/1989 22:15"
"6175" "Kent Cliffs" "RED" "DISK" "NY" "9/10/1989 23:00"
"6178" "Rocky Point" "" "" "NY" "9/15/1989 2:00"
"6181" "Peekskill" "" "" "NY" "9/15/1989 22:30"
